model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gst_small,AD,0.3,3,1,15,386.8758243499906,0.01675217762073077,4.05
gst_small,AD,0.3,4,1,7,386.87581363413483,0.01699308180114236,3.94
gst_small,AD,0.5,0,1,18,386.8758016828215,0.016908073990735142,4.05
gst_small,AD,0.5,1,1,12,386.87580155732576,0.0168973297518132,4.05
gst_small,AD,0.5,2,1,14,386.87580155587057,0.01689837629922279,4.66
gst_small,AD,0.5,3,1,16,386.8758015674539,0.01689440648532693,4.92
gst_small,AD,0.5,4,1,10,386.87613143411,0.018727718807423157,4.68
gst_small,AD,1.0,0,1,20,386.87587294436526,0.01715029093115219,4.66
gst_small,AD,1.0,1,1,15,386.87580168497516,0.016890019270159866,4.53
gst_small,AD,1.0,2,1,13,386.87580326147145,0.01694230954732849,4.36
gst_small,AD,1.0,3,1,16,386.8758015690837,0.01689617791927978,4.52
gst_small,AD,1.0,4,1,18,386.875805051066,0.0168988203926359,4.57
gst_small,AD,2.0,0,1,22,386.87580674578203,0.0168916867896078,4.59
gst_small,AD,2.0,1,1,17,386.87580156716285,0.016899849755774254,4.58
gst_small,AD,2.0,2,1,16,386.8758057472296,0.016891076885771857,4.52
gst_small,AD,2.0,3,1,23,386.87580694950884,0.016881569546255182,4.44
gst_small,AD,2.0,4,1,22,386.8758016557549,0.016903648966284737,4.34
gst_small,AD,3.0,0,1,20,386.87635182519443,0.01968601039990314,4.23
gst_small,AD,3.0,1,1,19,386.8758016281645,0.016894396657002746,4.25
gst_small,AD,3.0,2,1,17,386.87580159917707,0.01690502725821991,4.21
gst_small,AD,3.0,3,1,25,386.87581183057046,0.01685033043220505,4.27
gst_small,AD,3.0,4,1,26,386.87586094008293,0.017223732896860786,4.23
gst_small,AD,5.0,0,1,27,386.87580540269846,0.016906794460026662,4.25
gst_small,AD,5.0,1,1,23,386.8758251175168,0.01707706177303756,4.17
gst_small,AD,5.0,2,1,13,386.87580613821046,0.016925737139334415,4.14
gst_small,AD,5.0,3,1,18,7302.845106276798,4.655668115759179,4.39
gst_small,AD,5.0,4,1,33,386.8758248190861,0.016785323613210813,4.2
gst_small,AD,7.0,0,1,25,386.8758462112746,0.01707560983497145,4.15
gst_small,AD,7.0,1,1,25,386.87582639808534,0.01681765614475134,4.18
gst_small,AD,7.0,2,1,20,386.87581431132276,0.016999683156616444,4.13
gst_small,AD,7.0,3,1,19,7763.515178097759,7.4442920353994655,4.4
gst_small,AD,7.0,4,1,29,386.87580397661077,0.01693192966783941,4.25
gst_small,AD,10.0,0,1,31,386.87580206035636,0.01690739401032949,4.18
gst_small,AD,10.0,1,1,23,386.87580490950495,0.016940519097983487,4.05
gst_small,AD,10.0,2,1,18,386.87580216740025,0.016919720100314374,4.09
gst_small,AD,10.0,3,0,0,nan,10.0,4.16
gst_small,AD,10.0,4,1,14,444.96903719805414,1.78694166751998,4.21
gst_small,FD,0.3,0,1,13,386.8758260780014,0.016722671713727932,4.67
gst_small,FD,0.3,1,1,13,386.8758015707135,0.016894559544424287,4.23
gst_small,FD,0.3,2,1,13,386.8758045088616,0.016826310123492,4.24
gst_small,FD,0.3,3,1,15,386.87582438782556,0.016752759394484916,5.14
gst_small,FD,0.3,4,1,7,386.8758136588149,0.016993440043753406,2.59
gst_small,FD,0.5,0,1,18,386.8758016858483,0.0169086241948652,6.06
gst_small,FD,0.5,1,1,12,386.87580155488104,0.01689795720532789,4.04
gst_small,FD,0.5,2,1,14,386.8758015555213,0.016899016546881165,4.89
gst_small,FD,0.5,3,1,16,386.875801563845,0.016894927124206618,5.47
gst_small,FD,0.5,4,1,10,386.87613152194535,0.01872834575231563,3.75
gst_small,FD,1.0,0,1,20,386.87587291229283,0.017151045458370498,7.47
gst_small,FD,1.0,1,1,15,386.87580169539433,0.016890527634066826,4.9
gst_small,FD,1.0,2,1,13,386.8758032552432,0.01694280327997315,4.03
